Dominant1,Dominant2,Dominant3
#FFFFFF,#FCBE71,#F57D40
#F5F9FA,#9C9895,#000000
#131116,#FFFFFF,#546575
#24211C,#FFFFFF,#DB4335
#FFFFFF,#0D141C,#A5A5A7
#7F201A,#0A0905,#5B5A58
#FFFFFF,#000000,#FFCC25
#FFFCF7,#FFCE5D,#7B6637
#192730,#7A7363,#FFFFFF
#C6C8D5,#000E17,#09577E
#59398C,#1F2147,#ABBECF
#FBFCFF,#E1C8FF,#774FFD
#FFFFFF,#72C0CD,#000000
#1D1D27,#DFE0FF,#3A3A9E
#FFFFFF,#6993FF,#66BAFA
#FFFFFF,#121212,#849ACC
#DFE1ED,#9F8272,#4A3836
#94AAF5,#000000,#FFFFFF
#F7F7F7,#FFD50D,#000000
#FFFFFF,#181818,#DF4F66
#85A3D9,#D0EAEB,#1B3280
#FFFFFF,#0E0D12,#E2A8A7
#000000,#FFFFFF,#878787
#E7CDB6,#000000,#5B1810
#FCF3EA,#1D1D41,#FFC65B
#16171C,#FFFFFF,#6C6D6F
#F1EBEB,#979394,#454545
#000105,#3F4B59,#FFFFFF
#222222,#EAEAEA,#E09985
#1D1D1D,#656565,#BCBEBD
#EEE55A,#272729,#948DAF
#F1F6F9,#01ABFF,#61A600
#040000,#453918,#A8883D
#272727,#43A4AB,#C7C7C7
#81BCCA,#F8F8F8,#131418
#223555,#2E7EC3,#F7FFFF
#979485,#F7F7F7,#152121
#262626,#910E16,#707070
#0F0F0F,#575757,#E8FF01
#FFFFFF,#FF4610,#E5044A
#FAD2DD,#491313,#C38A76
#CAD2E5,#1E3CE8,#03060B
#EAEBF0,#272F42,#7B7F8C
#F6F7FB,#A4C7FD,#000100
#020202,#E9E9E9,#D4180D
#E8E5DE,#000000,#6F706A
#16141F,#5D5D5D,#E9E7E8
#E6E6E6,#040B13,#3435AB
#1E1E1E,#8D2F23,#818181
#1A143A,#F8104C,#FFFFFF
#EFF2FB,#1F1E24,#747780
#C1AFBF,#78525D,#D95A6F
#F3F7FF,#151922,#969FAE
#E9EEF1,#1A2225,#71797C
#000000,#B98958,#7E7E7C
#403D38,#BEC2C3,#957A5D
#0C083B,#FFFFFF,#000000
#9A0813,#302E2F,#E4DCCF
#191919,#CEE2D6,#737373
#000000,#EBEBEB,#686868
#4B3D95,#E4D3FF,#A26294
#F7DDC4,#AA7C65,#2A3E45
#F5F1EE,#CA9680,#141510
#1E2639,#DCEFF3,#7D363C
#27355A,#608ECC,#846A75
#000000,#707781,#FEFEFE
#2F54A4,#220A54,#FFF6F1
#121212,#41346A,#646371
#FFFFFF,#A471F4,#CABEEC
#151C26,#676A6F,#FFFFFF
#F6F7FB,#000205,#888888
#E7E7E7,#041010,#848484
#079BFF,#202126,#DAEAF9
#35434E,#C5CFC7,#FF4649
#693D4E,#868686,#FFFFFF
#E6E6F0,#1A1929,#452EB4
#121011,#A74903,#5D2109
#242831,#8941D1,#D0D4DF
#161616,#FF493B,#FFFFFF
#303A6B,#91A3E5,#FFFFFF
#FFFFFF,#E93E2C,#151515
#1D193E,#4B2826,#9995BA
#393D3C,#9EA09F,#92653B
#000000,#13699A,#FFFFFF
#1C1A28,#FFFFFF,#A4A4A4
#E2E0D4,#3F224E,#C66C49
#FFFFFF,#1F2A60,#6A82C0
#FECE02,#FFFFFF,#000000
#2D3750,#F1F9EE,#A07D5F
#FFFFFF,#7B4344,#D06553
#FFFFFF,#96ACFF,#000000
#2981A9,#8E6381,#000000
#37465D,#70CDD5,#FDB678
#FFFFFF,#415264,#90C08E
