,items,support,ordered_statistics
61,"frozenset({'Alice Blue', 'Black'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Alice Blue', 'Black'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Alice Blue'}), items_add=frozenset({'Black'}), confidence=0.2380952380952381, lift=0.6317460317460317), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Alice Blue'}), confidence=0.03333333333333333, lift=0.6317460317460317)]"
62,"frozenset({'Alice Blue', 'Dark Slate Gray'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Alice Blue', 'Dark Slate Gray'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Alice Blue'}), items_add=frozenset({'Dark Slate Gray'}), confidence=0.1904761904761905, lift=2.7074829931972793), OrderedStatistic(items_base=frozenset({'Dark Slate Gray'}), items_add=frozenset({'Alice Blue'}), confidence=0.14285714285714285, lift=2.707482993197279)]"
63,"frozenset({'Alice Blue', 'Slate Gray'})",0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Alice Blue', 'Slate Gray'}), confidence=0.017587939698492462, lift=1.0), OrderedStatistic(items_base=frozenset({'Alice Blue'}), items_add=frozenset({'Slate Gray'}), confidence=0.3333333333333333, lift=1.8425925925925923), OrderedStatistic(items_base=frozenset({'Slate Gray'}), items_add=frozenset({'Alice Blue'}), confidence=0.09722222222222222, lift=1.8425925925925926)]"
64,"frozenset({'Dark Gray', 'Black'})",0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Gray', 'Black'}), confidence=0.017587939698492462, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Dark Gray'}), confidence=0.04666666666666666, lift=1.1608333333333332), OrderedStatistic(items_base=frozenset({'Dark Gray'}), items_add=frozenset({'Black'}), confidence=0.4375, lift=1.1608333333333332)]"
65,"frozenset({'Black', 'Dark Khaki'})",0.020100502512562814,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Dark Khaki'}), confidence=0.020100502512562814, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Dark Khaki'}), confidence=0.05333333333333333, lift=2.3585185185185185), OrderedStatistic(items_base=frozenset({'Dark Khaki'}), items_add=frozenset({'Black'}), confidence=0.8888888888888888, lift=2.3585185185185185)]"
66,"frozenset({'Black', 'Dim Gray'})",0.07788944723618091,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Dim Gray'}), confidence=0.07788944723618091, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Dim Gray'}), confidence=0.20666666666666667, lift=1.4688095238095238), OrderedStatistic(items_base=frozenset({'Dim Gray'}), items_add=frozenset({'Black'}), confidence=0.5535714285714286, lift=1.4688095238095238)]"
67,"frozenset({'Dodger Blue', 'Black'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dodger Blue', 'Black'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Dodger Blue'}), confidence=0.03333333333333333, lift=0.8291666666666666), OrderedStatistic(items_base=frozenset({'Dodger Blue'}), items_add=frozenset({'Black'}), confidence=0.3125, lift=0.8291666666666666)]"
68,"frozenset({'Black', 'Firebrick'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Firebrick'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Firebrick'}), confidence=0.026666666666666665, lift=2.1226666666666665), OrderedStatistic(items_base=frozenset({'Firebrick'}), items_add=frozenset({'Black'}), confidence=0.7999999999999999, lift=2.1226666666666665)]"
69,"frozenset({'Gainsboro', 'Black'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Gainsboro', 'Black'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Gainsboro'}), confidence=0.03333333333333333, lift=1.206060606060606), OrderedStatistic(items_base=frozenset({'Gainsboro'}), items_add=frozenset({'Black'}), confidence=0.45454545454545453, lift=1.206060606060606)]"
70,"frozenset({'Black', 'Ghost White'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Ghost White'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Ghost White'}), confidence=0.026666666666666665, lift=0.5896296296296296), OrderedStatistic(items_base=frozenset({'Ghost White'}), items_add=frozenset({'Black'}), confidence=0.2222222222222222, lift=0.5896296296296296)]"
71,"frozenset({'Goldenrod', 'Black'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Goldenrod', 'Black'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Goldenrod'}), confidence=0.03333333333333333, lift=1.474074074074074), OrderedStatistic(items_base=frozenset({'Goldenrod'}), items_add=frozenset({'Black'}), confidence=0.5555555555555556, lift=1.474074074074074)]"
72,"frozenset({'Gray', 'Black'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Gray', 'Black'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Gray'}), confidence=0.03333333333333333, lift=2.2111111111111112), OrderedStatistic(items_base=frozenset({'Gray'}), items_add=frozenset({'Black'}), confidence=0.8333333333333334, lift=2.2111111111111112)]"
73,"frozenset({'Black', 'Light Gray'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Light Gray'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Light Gray'}), confidence=0.026666666666666665, lift=2.1226666666666665), OrderedStatistic(items_base=frozenset({'Light Gray'}), items_add=frozenset({'Black'}), confidence=0.7999999999999999, lift=2.1226666666666665)]"
74,"frozenset({'Black', 'Light Slate Gray'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Light Slate Gray'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Light Slate Gray'}), confidence=0.03333333333333333, lift=0.6982456140350878), OrderedStatistic(items_base=frozenset({'Light Slate Gray'}), items_add=frozenset({'Black'}), confidence=0.26315789473684215, lift=0.6982456140350878)]"
75,"frozenset({'Black', 'Maroon'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Maroon'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Maroon'}), confidence=0.03333333333333333, lift=0.6317460317460317), OrderedStatistic(items_base=frozenset({'Maroon'}), items_add=frozenset({'Black'}), confidence=0.2380952380952381, lift=0.6317460317460317)]"
76,"frozenset({'Black', 'Mint Cream'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Mint Cream'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Mint Cream'}), confidence=0.03333333333333333, lift=1.6583333333333332), OrderedStatistic(items_base=frozenset({'Mint Cream'}), items_add=frozenset({'Black'}), confidence=0.625, lift=1.6583333333333332)]"
